Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Total unfounded crimes
2015,236896,Walla Walla University,3,Missoula,1840,0
2015,236896,Walla Walla University,4,Rosario,1840,0
2015,236896,Walla Walla University,6,Portland,1840,0
2015,236939,Washington State University,1,Pullman Campus,29686,9
2015,236939,Washington State University,2,Vancouver Campus,29686,0
2015,236939,Washington State University,3,Spokane Campus,29686,0
2015,236939,Washington State University,4,Tri Cities,29686,0
2015,236975,Wenatchee Valley College,1,Main Campus,3218,0
2015,237011,Western Washington University,1,Bellingham Campus,15332,0
2015,237039,Whatcom Community College,1,Main Campus,4391,0
2015,237057,Whitman College,1,Whitman College,1470,0
2015,237066,Whitworth University,1,Main Campus,2650,0
2015,237109,Yakima Valley College,1,Main Campus,3960,0
2015,237109,Yakima Valley College,2,Grand View Campus,3960,0
2016,177834,A T Still University of Health Sciences,7,HealthPoint Campus,3569,0
2016,482185,Academy of Interactive Entertainment,1,Seattle Campus,129,0
2016,245883,Antioch University-Seattle,1,Main Campus,568,0
2016,487348,Aveda Institute Portland-Vancouver Campus,1,Aveda Institute Portland Vancouver Campus,129,0
2016,235547,Bastyr University,1,Main Campus,1247,0
2016,235547,Bastyr University,2,Bastyr University California,1247,0
2016,235547,Bastyr University,3,Seattle Clinic,1247,0
2016,235671,Bates Technical College,1,Downtown Campus,3291,0
2016,235671,Bates Technical College,2,South Campus,3291,0
2016,235671,Bates Technical College,3,Central Campus,3291,0
2016,234669,Bellevue College,1,Main Campus,13506,0
2016,234669,Bellevue College,2,North Campus,13506,0
2016,234696,Bellingham Technical College,1,Main Campus,2426,0
2016,234711,Big Bend Community College,1,Main Campus,2193,0
2016,236018,BJ's Beauty & Barber College,1,BJ's Beauty & Barber College,88,0
2016,262086,Brandman University,3,Brandman University - Bangor Campus,7331,0
2016,262086,Brandman University,7,Brandman University - Lacey Campus,7331,0
2016,262086,Brandman University,9,Brandman University - Ft. Lewis Campus,7331,0
2016,262086,Brandman University,10,Brandman University - McChord Field,7331,0
2016,262086,Brandman University,25,Brandman University - Whidbey Island Campus,7331,0
2016,439118,Carrington College-Spokane,1,Carrington College-Spokane,407,0
2016,439190,Cascadia College,1,Main Campus,3434,0
2016,234827,Central Washington University,1,Central Washington University,11971,2
2016,234827,Central Washington University,2,CWU-Yakima,11971,0
2016,234827,Central Washington University,3,CWU-Pierce,11971,0
2016,234827,Central Washington University,4,CWU-Lynnwood,11971,0
2016,234827,Central Washington University,7,CWU-Des Moines,11971,0
2016,234827,Central Washington University,8,CWU-Moses Lake,11971,0
2016,234827,Central Washington University,9,CWU-Wenatchee,11971,0
2016,234845,Centralia College,1,Centralia College,3265,0
2016,234845,Centralia College,2,Centralia College - East Campus,3265,0
2016,102845,Charter College,1,Charter College-Anchorage,2676,0
2016,102845,Charter College,2,Charter College - Wasilla,2676,0
2016,102845,Charter College,3,Charter College-Pasco,2676,0
2016,102845,Charter College,4,Charter College - Oxnard,2676,0
2016,102845,Charter College,6,Charter College-Vancouver,2676,0
2016,102845,Charter College,7,Charter College - Fife,2676,0
2016,102845,Charter College,8,Charter College-Lacey,2676,0
2016,102845,Charter College,9,Charter College-E Wenatchee,2676,0
2016,102845,Charter College,10,Charter College-Canyon Country,2676,0
2016,102845,Charter College,11,Charter College-Lancaster,2676,0
2016,102845,Charter College,12,Charter College - Yakima,2676,0
2016,234915,City University of Seattle,2,Everett,1874,0
2016,234915,City University of Seattle,4,Renton,1874,0
2016,234915,City University of Seattle,6,Tacoma,1874,0
2016,234915,City University of Seattle,8,Vancouver,1874,0
2016,234915,City University of Seattle,10,Vancouver- B.C.,1874,0
2016,234915,City University of Seattle,11,Victoria- B.C.,1874,0
2016,234915,City University of Seattle,12,Calgary- AB,1874,0
2016,234915,City University of Seattle,13,Edmonton- AB,1874,0
2016,234915,City University of Seattle,17,Seattle - Main,1874,0
2016,234933,Clark College,1,Main Campus,10318,0
2016,234933,Clark College,2,Columbia Tech Center,10318,0
2016,234951,Clover Park Technical College,1,Lakewood Campus,3978,2
2016,234951,Clover Park Technical College,2,South Hill Campus,3978,0
2016,234979,Columbia Basin College,1,Columbia Basin College,6489,0
2016,177065,Columbia College,26,Columbia College @ Marysville,16413,0
2016,177065,Columbia College,29,Columbia College @ NAS Whidbey Island,16413,0
2016,177065,Columbia College,43,Columbia College @ NS Everett,16413,0
2016,235024,Cornish College of the Arts,1,Cornish College of the Arts,674,0
2016,443410,DigiPen Institute of Technology,1,DigiPen,1062,0
2016,235088,Divers Institute of Technology,1,DIVERS INSTITUTE OF TECHNOLOGY,259,0
2016,235097,Eastern Washington University,1,EWU Main Campus,12279,2
2016,235103,Edmonds College,1,Main Campus,8348,0
2016,426314,Embry-Riddle Aeronautical University-Worldwide,30,Everett,14221,0
2016,426314,Embry-Riddle Aeronautical University-Worldwide,111,Seattle,14221,0
2016,426314,Embry-Riddle Aeronautical University-Worldwide,119,Spokane,14221,0
2016,426314,Embry-Riddle Aeronautical University-Worldwide,121,Tacoma,14221,0
2016,426314,Embry-Riddle Aeronautical University-Worldwide,131,Whidbey Island,14221,0
2016,177339,Evangel University,3,Evangel University - Kirkland,1821,0
2016,235149,Everett Community College,1,Everett Community College,7619,0
2016,235149,Everett Community College,2,School of Cosmetology Campus,7619,0
2016,235149,Everett Community College,3,Aviation Campus,7619,0
2016,235149,Everett Community College,4,Corporate and Continuing Education Campus,7619,0
2016,235149,Everett Community College,5,Monroe Center Campus,7619,0
2016,446260,Evergreen Beauty and Barber College-Everett,1,Main Campus,122,0
2016,446260,Evergreen Beauty and Barber College-Everett,2,Renton Campus,122,0
2016,443049,Faith International University,1,Main Campus,588,0
2016,488271,Fosbre Academy of Hair Design,1,Main Campus,12,0
2016,458131,Gary Manuel Aveda Institute,1,Main Campus,266,0
2016,235307,Glen Dow Academy of Hair Design,1,Main Campus,88,0
2016,230889,Goddard College,2,Port Townsend,505,0
2016,235316,Gonzaga University,1,Main Campus,7567,0
2016,235316,Gonzaga University,2,Gonzaga-In-Florence,7567,0
2016,235334,Grays Harbor College,1,Main Campus,1973,0
2016,235334,Grays Harbor College,2,Riverview Education Center,1973,0
2016,235334,Grays Harbor College,3,Columbia Education Center,1973,0
2016,235343,Green River College,1,Main Campus,8050,0
2016,235343,Green River College,2,Kent Campus,8050,0
2016,235343,Green River College,3,Enumclaw Campus,8050,0
2016,235343,Green River College,4,Auburn Center,8050,0
2016,235422,Heritage University,1,Heritage University Main Campus,1124,0
2016,235583,Highlights Beauty Schools,1,Main Campus,164,0
2016,407708,Highlights Beauty Schools,1,Branch Campus,199,0
2016,235431,Highline College,1,Highline College,6750,0
2016,235501,International Air and Hospitality Academy,1,Main Campus,85,1
2016,488378,International Beauty Education Center,1,International Beauty Education Center,23,0
2016,235699,Lake Washington Institute of Technology,1,Kirkland Campus,3652,0
2016,235750,Lower Columbia College,1,Lower Columbia College,2787,0
2016,147369,Moody Bible Institute,2,Spokane,3601,0
2016,236072,North Seattle College,1,Main Campus,6266,4
2016,167358,Northeastern University,3,Seattle Campus,20381,0
